-1735455201
NPC:()0,0.0,ACTION_NIL
1,0.0,ACTION_RIGHT
2,0.0,ACTION_RIGHT
3,0.0,ACTION_RIGHT
4,0.0,ACTION_RIGHT
5,0.0,ACTION_RIGHT
6,0.0,ACTION_RIGHT
7,0.0,ACTION_RIGHT
8,0.0,ACTION_RIGHT
9,0.0,ACTION_RIGHT
10,0.0,ACTION_RIGHT
11,0.0,ACTION_RIGHT
12,0.0,ACTION_RIGHT
13,0.0,ACTION_DOWN
14,0.0,ACTION_LEFT
15,0.0,ACTION_LEFT
16,0.0,ACTION_RIGHT
17,0.0,ACTION_LEFT
18,0.0,ACTION_RIGHT
19,0.0,ACTION_LEFT
20,0.0,ACTION_RIGHT
21,0.0,ACTION_LEFT
22,0.0,ACTION_RIGHT
23,0.0,ACTION_RIGHT
24,0.0,ACTION_LEFT
25,0.0,ACTION_LEFT
26,0.0,ACTION_RIGHT
27,0.0,ACTION_RIGHT
28,0.0,ACTION_DOWN
29,0.0,ACTION_LEFT
30,0.0,ACTION_LEFT
31,0.0,ACTION_LEFT
32,0.0,ACTION_LEFT
33,0.0,ACTION_LEFT
34,0.0,ACTION_LEFT
35,0.0,ACTION_LEFT
36,0.0,ACTION_LEFT
37,0.0,ACTION_LEFT
38,0.0,ACTION_LEFT
39,0.0,ACTION_LEFT
40,0.0,ACTION_LEFT
41,0.0,ACTION_LEFT
42,0.0,ACTION_RIGHT
43,0.0,ACTION_UP
44,0.0,ACTION_LEFT
45,0.0,ACTION_UP
46,0.0,ACTION_DOWN
47,0.0,ACTION_DOWN
48,0.0,ACTION_LEFT
49,0.0,ACTION_RIGHT
50,0.0,ACTION_RIGHT
51,0.0,ACTION_UP
52,0.0,ACTION_UP
53,0.0,ACTION_LEFT
54,0.0,ACTION_DOWN
55,0.0,ACTION_LEFT
56,0.0,ACTION_UP
57,0.0,ACTION_RIGHT
58,0.0,ACTION_DOWN
59,0.0,ACTION_DOWN
60,0.0,ACTION_LEFT
61,0.0,ACTION_UP
62,0.0,ACTION_UP
63,0.0,ACTION_UP
64,0.0,ACTION_UP
65,0.0,ACTION_RIGHT
66,40.0,ACTION_LEFT
67,40.0,ACTION_DOWN
68,40.0,ACTION_DOWN
69,40.0,ACTION_RIGHT
70,40.0,ACTION_RIGHT
71,40.0,ACTION_DOWN
72,40.0,ACTION_DOWN
73,40.0,ACTION_RIGHT
74,40.0,ACTION_RIGHT
75,40.0,ACTION_RIGHT
76,40.0,ACTION_RIGHT
77,40.0,ACTION_RIGHT
78,40.0,ACTION_RIGHT
79,40.0,ACTION_LEFT
80,40.0,ACTION_LEFT
81,40.0,ACTION_LEFT
82,40.0,ACTION_LEFT
83,40.0,ACTION_RIGHT
84,40.0,ACTION_RIGHT
85,40.0,ACTION_RIGHT
86,40.0,ACTION_RIGHT
87,40.0,ACTION_RIGHT
88,40.0,ACTION_RIGHT
89,40.0,ACTION_RIGHT
90,40.0,ACTION_RIGHT
91,40.0,ACTION_RIGHT
92,40.0,ACTION_LEFT
93,40.0,ACTION_DOWN
94,40.0,ACTION_RIGHT
95,40.0,ACTION_RIGHT
96,40.0,ACTION_DOWN
97,40.0,ACTION_LEFT
98,40.0,ACTION_LEFT
99,40.0,ACTION_LEFT
100,40.0,ACTION_RIGHT
101,40.0,ACTION_RIGHT
102,40.0,ACTION_RIGHT
103,40.0,ACTION_RIGHT
104,40.0,ACTION_LEFT
105,40.0,ACTION_LEFT
106,40.0,ACTION_LEFT
107,40.0,ACTION_LEFT
108,40.0,ACTION_LEFT
109,40.0,ACTION_LEFT
110,40.0,ACTION_LEFT
111,40.0,ACTION_LEFT
112,40.0,ACTION_LEFT
113,40.0,ACTION_LEFT
114,40.0,ACTION_LEFT
115,40.0,ACTION_LEFT
116,40.0,ACTION_LEFT
117,40.0,ACTION_UP
118,40.0,ACTION_UP
119,40.0,ACTION_UP
120,40.0,ACTION_UP
121,40.0,ACTION_RIGHT
122,40.0,ACTION_LEFT
123,40.0,ACTION_DOWN
124,40.0,ACTION_DOWN
125,40.0,ACTION_RIGHT
126,40.0,ACTION_RIGHT
127,40.0,ACTION_RIGHT
128,40.0,ACTION_RIGHT
129,40.0,ACTION_RIGHT
130,40.0,ACTION_RIGHT
131,40.0,ACTION_RIGHT
